Country,Confirmed,Deaths
Afghanistan,159070,7386
Albania,239129,3283
Algeria,228918,6443
Andorra,29888,142
Angola,94779,1877
Antigua and Barbuda,5741,121
Argentina,7446626,118628
Armenia,348708,8025
Australia,2022581,2890
Austria,1503668,13956
Azerbaijan,628166,8550
Bahamas,31549,719
Bahrain,317380,1398
Bangladesh,1642294,28176
Barbados,37063,271
Belarus,719485,5866
Belgium,2575313,28726
Belize,44145,611
Benin,26309,163
Bhutan,3229,3
Bolivia,774227,20377
Bosnia and Herzegovina,324026,13912
Botswana,239887,2534
Brazil,23425392,622125
Brunei,15986,98
Bulgaria,851945,32431
Burkina Faso,20414,353
Burma,533604,19306
Burundi,36785,38
Cabo Verde,54891,380
Cambodia,120877,3015
Cameroon,109666,1853
Canada,2845993,31982
Central African Republic,13319,108
Chad,6889,185
Chile,1902657,39431
China,118370,4849
Colombia,5624520,131437
Comoros,7784,159
Congo (Brazzaville),23244,371
Congo (Kinshasa),82984,1278
Costa Rica,631311,7434
Cote d'Ivoire,79558,764
Croatia,836807,13257
Cuba,1008616,8348
Cyprus,233082,689
Czechia,2652685,36937
Denmark,1253200,3553
Diamond Princess,712,13
Djibouti,15134,189
Dominica,7957,48
Dominican Republic,517611,4274
Ecuador,629507,34232
Egypt,403990,22238
El Salvador,123577,3840
Equatorial Guinea,15558,179
Eritrea,9115,89
Estonia,274658,1990
Eswatini,67975,1365
Ethiopia,459959,7190
Fiji,60509,752
Finland,371135,1724
France,15288014,128641
Gabon,45405,299
Gambia,11572,347
Georgia,1015592,14555
Germany,8361262,116321
Ghana,154190,1350
Greece,1723496,22285
Grenada,10427,204
Guatemala,659655,16203
Guinea,35719,410
Guinea-Bissau,7140,153
Guyana,53921,1108
Haiti,28030,780
Holy See,29,0
Honduras,385964,10457
Hungary,1369974,40686
Iceland,51535,44
India,38218773,487693
Indonesia,4275528,144192
Iran,6231909,132132
Iraq,2131500,24267
Ireland,1122428,6087
Israel,2035425,8362
Italy,9219391,142205
Jamaica,116084,2555
Japan,1975761,18458
Jordan,1117397,13028
Kazakhstan,1185928,18338
Kenya,319011,5520
Kiribati,2,0
"Korea, South",712503,6480
Kosovo,169632,2995
Kuwait,479640,2480
Kyrgyzstan,192158,2838
Laos,127347,507
Latvia,314142,4759
Lebanon,840514,9429
